Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
1996,A.2.3: Expenditure by year,1669.939999,88.01615129999999,11.75470035,25.97177463,1795.6826260000003,739.9466547000001,2535.62928
1997,A.2.3: Expenditure by year,1710.287281,94.55773724,10.65515217,30.48042612,1845.980597,786.8650412000001,2632.845638
1998,A.2.3: Expenditure by year,1803.048313,100.3900475,25.39623208,33.20508196,1962.039675,825.6062513999999,2787.645926
1999,A.2.3: Expenditure by year,1922.0659010000002,103.7001702,18.5959896,37.21240364,2081.5744640000003,893.9833305999999,2975.5577949999997
2000,A.2.3: Expenditure by year,2074.718382,117.7769534,22.4945079,42.3210279,2257.310872,955.8790255000001,3213.1898969999997
2001,A.2.3: Expenditure by year,2209.37953,137.36805569999999,25.01007382,45.44048639,2417.198146,1038.534637,3455.732783
2002,A.2.3: Expenditure by year,2340.766137,131.97862759999998,26.31079515,48.04595191,2547.101512,1120.3187189999999,3667.420231
2003,A.2.3: Expenditure by year,2500.869382,148.3731272,29.09206921,54.51872274,2732.853301,1168.872493,3901.7257950000003
2004,A.2.3: Expenditure by year,2637.325774,148.91088919999999,33.02987048,57.40149389,2876.668027,1235.049786,4111.717813
2005,A.2.3: Expenditure by year,2797.363371,152.2533409,31.22094479,60.31955745,3041.157214,1306.098201,4347.255414
2006,A.2.3: Expenditure by year,2965.130174,161.3711379,31.70040954,64.38742595,3222.589148,1414.001495,4636.590643
2007,A.2.3: Expenditure by year,3148.401169,172.6289066,29.26416355,66.53266449,3416.826903,1464.53334,4881.3602439999995
2008,A.2.3: Expenditure by year,3360.1255899999996,191.00412619999997,26.12042388,71.61860852,3648.868748,1529.864214,5178.732963
2009,A.2.3: Expenditure by year,3530.574597,205.8877771,27.91691752,72.64289734,3837.0221890000003,1579.478644,5416.500832
2010,A.2.3: Expenditure by year,3708.784485,193.2365994,28.29077717,74.9467798,4005.2586409999994,1678.1769530000001,5683.435595
2011,A.2.3: Expenditure by year,3811.9951130000004,194.8030369,25.26427685,74.72507284,4106.787499,1703.694466,5810.481965
2012,A.2.3: Expenditure by year,3880.2784590000006,197.2715415,25.0765293,78.73263478,4181.359164,1741.5929449999999,5922.952109000001
2013,A.2.3: Expenditure by year,3922.317261,195.2181207,23.12200422,82.06524142,4222.722627,1742.2360410000001,5964.958669
2014,A.2.3: Expenditure by year,3981.515423,196.7349731,22.73400799,83.04656743,4284.030971,1800.429284,6084.460255
2015,A.2.3: Expenditure by year,4125.315853,197.3742729,22.84411166,85.03810744,4430.5723450000005,1867.980385,6298.552729999999
2016,A.2.3: Expenditure by year,4168.916679999999,208.5830548,22.48467898,87.40509606,4487.3895090000005,1966.2852100000002,6453.674719
2017,A.2.3: Expenditure by year,4269.806865,209.8062955,22.55742628,90.79842086,4592.969008,2037.1180100000001,6630.087018
2018,A.2.3: Expenditure by year,4388.738141,213.2491159,22.44792268,90.99280235,4715.427982,2123.576275,6839.004257
1975,A.2.4: Expenditure by year,27834.338239999997,1272.1407060000001,230.43180069999997,389.35720200000003,29726.26795,9957.682819,39683.950769999996
1976,A.2.4: Expenditure by year,28659.45345,1247.315584,304.6502203,403.8204791,30615.239739999997,10151.22788,40766.46761
1977,A.2.4: Expenditure by year,28970.098860000002,1243.350041,304.71401539999994,402.62766630000004,30920.79058,10688.668090000001,41609.45867
1978,A.2.4: Expenditure by year,29826.05805,1184.533941,277.9438602,425.28533250000004,31713.82119,11226.79135,42940.612539999995
1979,A.2.4: Expenditure by year,30367.913819999998,1140.87733,354.103615,417.4968453,32280.391610000002,11923.13012,44203.52173
1980,A.2.4: Expenditure by year,31774.782069999997,1173.975666,482.39056600000004,469.83495189999996,33900.98326,12775.18458,46676.167839999995
1981,A.2.4: Expenditure by year,35374.93065,1319.492847,533.2663996,608.9290743,37836.618969999996,13286.60747,51123.22644
1982,A.2.4: Expenditure by year,37338.383969999995,1459.866056,435.3976928,578.7182721,39812.36599,13672.09098,53484.45697
1983,A.2.4: Expenditure by year,39249.87657,1594.9337779999998,362.5549067,569.6970397000001,41777.062289999994,13677.89479,55454.95707999999
1984,A.2.4: Expenditure by year,40353.27174,1701.9276260000001,336.7154186,605.8570358,42997.77182,14313.71419,57311.48601
1985,A.2.4: Expenditure by year,41630.77304,1711.614544,409.0125607,682.2602724999999,44433.66042,15125.01557,59558.67597999999
1986,A.2.4: Expenditure by year,43398.05416,1795.593857,444.3536643,651.1427295,46289.14441,15902.8653,62192.00972
1987,A.2.4: Expenditure by year,44614.98253,1838.3625,555.0087487000001,652.1879547999999,47660.541730000004,16147.00265,63807.54437999999
1988,A.2.4: Expenditure by year,46731.38426,1990.471487,397.44667569999996,694.1564404000001,49813.45886,16585.90625,66399.36511
1989,A.2.4: Expenditure by year,48543.1449,2083.5934,402.9395753,698.9434037000001,51728.62128,17469.85515,69198.47643
1990,A.2.4: Expenditure by year,49543.636860000006,2297.992745,425.8495762,750.6804977,53018.159680000004,18224.47365,71242.63332000001
1991,A.2.4: Expenditure by year,51547.85491,2354.833328,418.4816004,802.313167,55123.48301,18798.41776,73921.90077000001
1992,A.2.4: Expenditure by year,52121.14939,2376.298737,428.1287017,757.6743653,55683.251189999995,19440.80572,75124.05691
1993,A.2.4: Expenditure by year,51375.42013,2422.4462489999996,406.5478841,725.0833997999999,54929.497670000004,20451.572330000003,75381.07
1994,A.2.4: Expenditure by year,50805.06297,2623.116652,466.26655880000004,713.3888899,54607.83507000001,21196.59418,75804.42925
1995,A.2.4: Expenditure by year,50298.345219999996,2736.518266,406.5810033,736.5495772,54177.994060000005,21884.98158,76062.97564
1996,A.2.4: Expenditure by year,50164.14359,2643.01181,353.45597169999996,780.4504299,53941.0618,22219.76535,76160.82715
1997,A.2.4: Expenditure by year,51150.22531,2827.974936,318.66777010000004,911.5899303,55208.45795,23533.07809,78741.53603999999
1998,A.2.4: Expenditure by year,53497.92231,2977.658055,749.7911508999999,987.4936455,58212.86516,24343.12674,82555.9919
1999,A.2.4: Expenditure by year,56294.74646,3035.10614,543.8043584,1091.2133529999999,60964.870310000006,25976.42372,86941.29402999999
2000,A.2.4: Expenditure by year,58471.58769,3316.367747,634.3169395,1192.931108,63615.20348,27418.53182,91033.7353
2001,A.2.4: Expenditure by year,61591.87188,3824.3651,698.8294414,1267.0288050000001,67382.09522999999,29324.2642,96706.35943
2002,A.2.4: Expenditure by year,63816.085210000005,3592.204893,718.6028441000001,1309.812897,69436.70584,31404.48668,100841.1925
2003,A.2.4: Expenditure by year,66986.15567000001,3970.138239,779.0760769,1458.524038,73193.89402,32488.39775,105682.2918
2004,A.2.4: Expenditure by year,69974.3929,3942.4788229999995,876.8145082999998,1523.492937,76317.17917,34040.34684,110357.526
2005,A.2.4: Expenditure by year,72449.75617000001,3933.935876,805.6303462999999,1565.590101,78754.91249,35388.2902,114143.2027
2006,A.2.4: Expenditure by year,74820.19052999999,4061.0404630000003,800.617926,1631.368281,81313.2172,37804.49747,119117.7147
2007,A.2.4: Expenditure by year,77927.63707000001,4257.244163,722.883781,1651.334334,84559.09935,38774.14872,123333.2481
2008,A.2.4: Expenditure by year,81086.2335,4592.755731,627.2889067000001,1740.851131,88047.12927,40217.041939999996,128264.1712
2009,A.2.4: Expenditure by year,83778.29918,4869.285242,655.6847167999999,1743.6406809999999,91046.90982,40906.48936,131953.3992
2010,A.2.4: Expenditure by year,87733.81649,4554.294379999999,662.9658887999999,1795.472802,94746.54956,43051.32064,137797.8702
2011,A.2.4: Expenditure by year,88062.74613,4482.258758,576.6056083999999,1744.479461,94866.08996,43588.95815,138455.0481
2012,A.2.4: Expenditure by year,89065.57855,4510.236205,568.7774102000001,1825.1133140000002,95969.70547999999,44875.69414,140845.3996
2013,A.2.4: Expenditure by year,88473.81686,4385.196444,517.0368022,1861.8400239999999,95237.89013,45421.14693,140659.0371
2014,A.2.4: Expenditure by year,88898.7202,4373.450473,503.6087442,1863.650618,95639.43003999999,47013.49884,142652.9289
