,Year,Province Code,GDP ($mm),Pop (k),GDP/capita ($),CPI (healthcare),Private health spend/capita ($),Private health spend total ($mm),Public health spend/capita ($),Public health spend total ($mm),Private drug spend/capita ($),Private drug spend total ($mm),Public drug spend/capita ($),Public drug spend total ($mm),Private hospital spend/capita ($),Private hospital spend total ($mm),Public hospital spend/capita ($),Public hospital spend total ($mm),Non-working age pop (k),Working age pop (k),Pct working age (%)
62,1993,P.E.I.,2488.0,132.1,18834.21650264951,98.13101756,707.5086345,93.49160598,1651.430404,218.2233164,297.2196642,39.27520086,65.27023377,8.62493923,29.83757814,3.94279725,822.4177713,108.6759291,,,
63,1994,P.E.I.,2541.0,133.4,19047.976011994004,98.82952615,724.6626877,96.68159714,1626.424784,216.991089,312.9387575,41.75103727,66.90647791,8.926394657,28.37742475,3.7860025,826.9340149,110.3262285,,,
64,1995,P.E.I.,2670.0,134.4,19866.071428571428,98.08382103,778.3962255,104.6219015,1657.765702,222.8153147,336.6043927,45.24198662,73.05566111,9.819192243,37.87668611,5.09089175,850.0607765,114.2541188,,,
65,1996,P.E.I.,2826.0,135.8,20810.0147275405,98.61242213,781.2463709,106.0549761,1716.3612670000002,232.9977583,314.6973354,42.72047798,72.20387512,9.801748252,44.03886528,5.97832,860.036023,116.7507502,56.87100000000001,78.88,58.085419734904264
66,1997,P.E.I.,2836.0,136.1,20837.619397501836,100.0,811.1608181,110.4062878,1689.182661,229.9129628,314.3432619,42.78494703,77.63855087,10.56730552,67.38744315,9.1720375,842.2977046,114.6442983,56.558,79.55099999999999,58.45040411462159
67,1998,P.E.I.,2977.0,135.8,21921.944035346096,102.6996413,853.1375688999997,115.8722915,1807.7795,245.5308039,368.6320206,50.06723241,89.52217665,12.15881251,55.84555548,7.5848875,863.8311783,117.3246868,56.209,79.60999999999999,58.62297496318113
68,1999,P.E.I.,3161.0,136.3,23191.489361702126,103.7851614,878.2940229000003,119.7079621,1900.332394,259.007704,375.9474931,51.24013953,102.1712286,13.92552977,52.96228429,7.2185475,895.6827452,122.0779754,55.98799999999999,80.30799999999999,58.9200293470286
69,2000,P.E.I.,3384.0,136.5,24791.20879120879,107.4948084,905.9749636,123.6528989,2034.62252,277.69748930000003,386.9276388,52.81020571,124.5837748,17.00394109,57.8605498,7.897155,936.5086499,127.8203196,55.791,80.695,59.11721611721611
70,2001,P.E.I.,3449.0,136.7,25230.43160204828,110.9873513,1078.926435,147.4590337,2403.426116,328.4810542,446.9519299,61.08581416,140.1023068,19.14806248,60.81342557,8.3114925,993.4207952,135.7728069,55.57900000000001,81.09299999999999,59.3218727139722
71,2002,P.E.I.,3706.0,136.9,27070.854638422206,113.2811025,1020.751499,139.7755858,2666.111988,365.081379,419.5454948,57.45004278,148.2123516,20.29531015,73.83237436,10.11016235,1111.136839,152.1524119,55.18600000000001,81.748,59.71365960555149
72,2003,P.E.I.,3801.0,137.3,27683.903860160233,114.8669058,1174.863136,161.33808009999996,2740.474051,376.335599,461.5035598,63.37597635,160.2387692,22.00478898,80.13613151,11.00469426,1192.989133,163.8272327,54.89099999999999,82.434,60.0393299344501
73,2004,P.E.I.,4028.0,137.9,29209.57215373459,115.4804606,1176.959782,162.2580295,2692.79677,371.2343484,488.9106491,67.40219991,169.9212561,23.42568421,87.04549354,12.00026583,1236.930244,170.5256773,54.629,83.23299999999999,60.3575054387237
74,2005,P.E.I.,4258.0,138.2,30810.41968162084,117.3400038,1181.168188,163.2232695,2877.269899,397.6041728,511.6772224,70.70765201,187.7063891,25.9387705,88.29866149,12.20181543,1255.234159,173.458298,54.290252036,83.897747974,60.707487680173664
75,2006,P.E.I.,4426.0,137.9,32095.721537345904,118.8125354,1378.374632,190.0296186,2998.9207760000004,413.4462128,551.4427171,76.02465019,201.597053,27.79317771,81.70354497,11.26405923,1300.74378,179.3270412,53.891,83.974,60.89485134155185
76,2007,P.E.I.,4630.0,137.7,33623.819898329704,119.8131018,1371.741701,188.9176387,3230.411484,444.8954999,559.368521,77.03679208,213.6594261,29.42538983,68.61309052,9.449463439,1361.315724,187.4817628,53.806999999999995,83.914,60.939724037763256
77,2008,P.E.I.,4754.0,138.8,34250.7204610951,121.087408,1339.831761,185.9204145,3514.871685,487.7376545,565.0534272,78.40907378,233.4425161,32.39341731,67.65748475,9.388423214,1457.363034,202.229524,54.132000000000005,84.63199999999999,60.97406340057636
78,2009,P.E.I.,4930.0,139.9,35239.456754824874,128.9881065,1547.838854,216.5565863,3920.484208,548.5110251,611.447839,85.54705571,257.0330145,35.96123203,62.83663027,8.791410105,1569.564318,219.5961741,54.512,85.397,61.04145818441744
79,2010,P.E.I.,5224.0,141.7,36866.619618913195,127.119124,1620.994405,229.6592453,4204.293320000002,595.655869,670.0996248,94.93837465,272.5288657,38.61134464,93.15984964,13.19870118,1697.986201,240.5672889,55.01199999999999,86.66599999999998,61.16160903316866
80,2011,P.E.I.,5424.0,144.0,37666.666666666664,127.2135171,1769.575059,254.8860523,4596.381724,662.0536308,674.5827881,97.16555563,289.3429367,41.67637791,108.7691139,15.66688562,1846.728659,265.9991026,55.887,88.15099999999998,61.21597222222221
81,2012,P.E.I.,5571.0,145.1,38394.21088904204,128.3651123,1677.217561,243.3307237,4480.100817000001,649.9730265,657.4127548,95.37744246,281.3384329,40.81657985,93.40808445,13.55164489,1934.041082,280.5906801,56.67700000000001,88.40299999999999,60.92556857339765
82,2013,P.E.I.,5753.0,145.2,39621.21212121212,125.1840665,1642.442462,238.4793606,4537.127135,658.7817857999999,641.0480547,93.07889544,268.8448713,39.03573763,82.54074138,11.98475057,2006.822445,291.3866054,57.42100000000001,87.77700000000002,60.45247933884299
83,2014,P.E.I.,5849.0,145.9,40089.102124742974,125.4200491,1643.253835,239.7753833,4511.8680060000015,658.3492202000001,651.0994519,95.00517652,243.6145839,35.54702201,73.79538075,10.76785298,2019.358554,294.6547034,58.43899999999999,87.476,59.95613433858807
84,2015,P.E.I.,6077.0,146.8,41396.457765667576,127.8648291,1658.228129,243.4129653,4608.3277130000015,676.4610334,660.6068275,96.97113682,240.585352,35.31576441,74.99099348,11.00800292,2064.245758,303.0126991,59.30199999999999,87.489,59.59741144414169
