Year ,Category,Hospitals ,Other Institutions ,Physicians ,Other Professionals: Dental Services ,Other Professionals: Vision Care Services ,Other Professionals: Other services,Total Other Professionals,Prescribed Drugs ,Over-the-Counter Drugs,Drugs: Personal Health Supplies,Total Drugs,Capital ,Public Health ,Administration ,Other health spending: Health Research ,Other health spending: Other Health Care Goods,Other health spending: Other Health Care Services,Total Other Health Spending,Grand Total 
2002,H.3: Expenditure by year,867.6619421,,2.4373753,4441.114426,608.7036779,644.7838461,5694.60195,5009.446790999999,0.0,0.0,5009.446790999999,0.0,,2304.32245,0.0,67.03833214,70.14763067,137.1859628,14015.656469999998
2003,H.3: Expenditure by year,910.3252296000001,,3.20991301,4624.589433,523.6404512,569.4152897999999,5717.645174,5692.604131,0.0,0.0,5692.604131,0.0,,2605.167066,0.0,74.09751468,81.82556765,155.9230823,15084.8746
2004,H.3: Expenditure by year,926.9999597000001,,4.03393535,4891.891378,551.8618031000001,590.1845732999999,6033.937754,6229.220855,0.0,0.0,6229.220855,0.0,,2748.195513,0.0,82.71992991,90.2362748,172.95620469999997,16115.344219999999
2005,H.3: Expenditure by year,993.2565911,,4.63549349,5030.397183,588.5638321,632.3865794,6251.347595,6714.3511530000005,0.0,0.0,6714.3511530000005,0.0,,2772.786566,0.0,93.38630419,99.05384103,192.4401452,16928.81754
2006,H.3: Expenditure by year,1061.637647,,5.171929492,5270.168925,643.6123239,717.1934921,6630.974741,7269.3994920000005,0.0,0.0,7269.3994920000005,0.0,,2731.413807,0.0,102.4703481,107.53932309999999,210.00967119999999,17908.60729
2007,H.3: Expenditure by year,1127.855266,,6.06180553,5603.043487,693.3006757999999,786.9251057,7083.269268000001,7896.838993,0.0,0.0,7896.838993,0.0,,2981.048091,0.0,112.0107737,120.71950279999999,232.7302766,19327.8037
2008,H.3: Expenditure by year,1201.042344,,7.00062222,5988.235428,746.6729613,859.2609838,7594.169373000001,8467.202099,0.0,0.0,8467.202099,0.0,,3205.748009,0.0,128.23139,137.5692778,265.80066769999996,20740.96312
2009,H.3: Expenditure by year,1260.679801,,7.86806471,6282.955349,793.1951177,934.1752339999999,8010.325701000001,8988.019890000001,0.0,0.0,8988.019890000001,0.0,,3155.3461350000002,0.0,140.9110593,160.033005,300.94406430000004,21723.18366
2010,H.3: Expenditure by year,1274.4793710000001,,8.63938299,6422.221264,819.9216347999999,998.0475081000001,8240.190407,9282.354465,0.0,0.0,9282.354465,0.0,,3364.9832549999996,0.0,156.5863573,177.51563280000002,334.1019901,22504.74887
2011,H.3: Expenditure by year,1390.681862,,8.52956015,6632.557322,854.4318049000001,1127.559909,8614.549036,9503.366217,0.0,0.0,9503.366217,0.0,,3619.5033270000004,0.0,174.7932053,188.2654811,363.05868639999994,23499.68869
2012,H.3: Expenditure by year,1508.0796050000001,,9.74286763,6977.279425,941.1660718,1278.685107,9197.130603,9815.358809000001,0.0,0.0,9815.358809000001,0.0,,3520.027158,0.0,195.70471740000002,208.67285159999997,404.37756889999997,24454.71661
2013,H.3: Expenditure by year,1517.660523,,11.26575112,7238.039839,958.9303960000001,1421.852392,9618.822626000001,10068.0413,0.0,0.0,10068.0413,0.0,,3657.079812,0.0,206.96227549999998,213.54364469999996,420.50592019999993,25293.375930000002
2014,H.3: Expenditure by year,1550.570749,,10.48069459,7445.686998,1001.3834300000001,1639.8236949999998,10086.89412,10365.83301,0.0,0.0,10365.83301,0.0,,3632.2261270000004,0.0,218.943002,234.5613727,453.50437469999997,26099.50908
2015,H.3: Expenditure by year,1642.878517,,12.88503696,7771.868033,1065.797654,1879.0563,10716.72199,11074.27721,0.0,0.0,11074.27721,0.0,,3163.1562289999997,0.0,236.33522369999997,247.88891009999998,484.22413380000006,27094.14311
2016,H.3: Expenditure by year,1646.716635,,14.22692699,8059.112076,1109.307126,2003.357077,11171.77628,11371.10534,0.0,0.0,11371.10534,0.0,,3858.042905,0.0,258.2892247,265.6294124,523.9186371000001,28585.78672
1988,H.4: Expenditure by year,1110.7976720000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.01336299999997,,0.0,164.1115,0.0,0.0,164.1115,1625.922535
1989,H.4: Expenditure by year,1199.91557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.3962588,,0.0,196.055,0.0,0.0,196.055,1786.3668289999998
1990,H.4: Expenditure by year,1384.100613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.3706423,,0.0,226.22225,0.0,0.0,226.22225,1993.6935050000002
1991,H.4: Expenditure by year,1448.714038,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.7051151,,0.0,249.764,0.0,0.0,249.764,2040.1831530000002
1992,H.4: Expenditure by year,1510.21818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.1049843,,0.0,265.49725,0.0,0.0,265.49725,2138.8204140000003
1993,H.4: Expenditure by year,1651.111367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.7251665,,0.0,275.5646059,0.0,0.0,275.5646059,2293.40114
1994,H.4: Expenditure by year,1671.162494,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.6430858,,0.0,293.15398789999995,0.0,0.0,293.15398789999995,2293.9595670000003
1995,H.4: Expenditure by year,1379.4044609999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.14442410000004,,0.0,319.427527,0.0,0.0,319.427527,2137.976412
1996,H.4: Expenditure by year,1238.4472779999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.03395839999996,,0.0,332.1312458,0.0,0.0,332.1312458,2044.6124829999999
1997,H.4: Expenditure by year,1259.048956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.33387989999994,,0.0,358.913,0.0,0.0,358.913,1982.2958350000001
