Year,Category,Hospitals ,Other institutions ,Physicians ,Other professionals: Dental services ,Other professionals: Vision care services ,Other professionals: Other services,Total other professionals,Prescribed drugs ,Non-prescribed drugs ,Total drugs,Capital ,Public health ,Administration ,Other health spending: Health research ,Other health spending: Other ,Total other health spending,Grand total 
2006,A.3.1.1: Expenditures by year,44070.61029,15722.948369999998,20047.15496,10222.029209999999,3443.7815090000004,2517.141532,16182.95225,20810.68258,4263.685769,25074.36835,7240.686712999999,8467.358553,5125.807247,2893.5909100000003,6190.621075,9084.211985,151016.0987
2007,A.3.1.1: Expenditures by year,46931.0529,16685.73213,21552.95686,10974.31051,3769.2352170000004,2533.2883,17276.83402,21975.83081,4437.423231,26413.25404,7255.437237,9055.115401,5530.401037,3121.001505,6716.039102,9837.040606999999,160537.8242
2008,A.3.1.1: Expenditures by year,50039.22468,17573.92872,23779.868,11792.6628,3921.481427,2864.038904,18578.18313,23375.13675,4516.307543,27891.4443,8167.315478,9488.835183,5652.966697,3606.251522,7392.962815000001,10999.21434,172170.9805
2009,A.3.1.1: Expenditures by year,53333.23135,18881.46886,25673.92255,12113.539509999999,4225.187982,2866.758645,19205.48613,24783.60008,4757.555171,29541.15525,8758.732754,9818.186352,5620.57529,3596.286232,7720.138054999999,11316.42429,182149.1828
2010,A.3.1.1: Expenditures by year,56960.86335,20003.2451,27431.79477,11922.50947,3902.800135,2846.851018,18672.16062,27584.78172,4842.332953,32427.11467,10100.67607,9868.233967,5794.199364,3408.974224,8599.522515999999,12008.49674,193266.7847
2011,A.3.1.1: Expenditures by year,59358.04659,20451.90728,29205.91475,11895.358559999999,4004.135726,3073.9589170000004,18973.45321,28068.37717,5070.481042,33138.858210000006,9824.896586,10386.21327,6058.832088,3312.17622,8837.805621,12149.98184,199548.1038
2012,A.3.1.1: Expenditures by year,61132.25605,21068.969419999998,30304.5669,12473.36599,3928.711986,3629.59137,20031.66934,28293.151910000004,5183.63824,33476.79015,10285.31028,10885.22253,6067.2340890000005,3519.7571399999997,9054.037908,12573.79505,205825.8138
2013,A.3.1.1: Expenditures by year,62582.28271,21980.40634,31654.54393,12789.56575,4005.313238,3652.2299479999997,20447.108940000002,28642.197,5253.317371,33895.51437,8828.071519,11384.60543,6240.749982,3527.98151,9141.169429000001,12669.150940000001,209682.4342
2014,A.3.1.1: Expenditures by year,63811.44824,22892.16844,32957.43405,13138.6518,4116.983853,4116.676378,21372.31203,29439.46558,5295.096814,34734.5624,8652.030784,12093.4345,6198.091414,3710.5141759999997,9791.416522,13501.9307,216213.4126
2015,A.3.1.1: Expenditures by year,65270.3592,24626.70099,34403.78978,13977.78044,4512.756585,4708.505532,23199.042559999998,30782.2736,5492.269017,36274.54262,9205.142772,12509.40384,5697.109824,3702.796493,10804.084509999999,14506.881000000001,225692.9726
2016,A.3.1.1: Expenditures by year,66389.05615,25574.75437,35954.59678,15209.347619999999,4697.496485000001,5116.965348,25023.80945,31396.79663,5667.167237,37063.96386,8369.338435,13025.71582,6473.144671,3874.7815619999997,12290.79693,16165.57849,234039.958
2017,A.3.1.1: Expenditures by year,68869.72323999999,26959.485460000004,37073.85005,16099.11583,4935.02825,5481.788565,26515.93265,32334.3717,5897.243697,38231.61539,8497.640195,13593.73103,6710.309539,3975.6836329999996,12949.81337,16925.497,243377.7845
2018,A.3.1.1: Expenditures by year,71636.02812,28466.075160000004,38239.15244,17087.19968,5178.392575,5813.692281000001,28079.284539999997,33686.47526,6134.303456,39820.77872,8343.74767,14197.73552,6897.7010230000005,4136.567461,13661.49968,17798.06714,253478.5703
1975,A.3.1.2: Percentage by year,44.71400025,9.221496215,15.08197602,6.079518912999999,1.8535407190000002,1.052597343,8.985656975,6.325611764,2.50518143,8.830793194,4.39425523,3.334719075,2.816232383,0.768366834,1.8525038230000002,2.6208706569999998,100.0
1976,A.3.1.2: Percentage by year,45.24838497,9.741138663,14.74064325,6.18597332,1.8511112930000002,1.035510346,9.072594959,6.287690859,2.24940568,8.537096539,3.8726664439999996,3.634323906,2.575961034,0.750415809,1.826774434,2.577190243,100.0
1977,A.3.1.2: Percentage by year,43.96670752,10.20684984,14.78588544,6.696729165,1.914753346,1.052242174,9.663724685,6.394341297,2.100273769,8.494615067,3.648789452,3.873828717,2.642827981,0.8378486079999999,1.878922681,2.71677129,100.0
1978,A.3.1.2: Percentage by year,43.15246804,10.82522132,15.00386528,6.963631379,1.9638892909999999,1.089164965,10.01668564,6.15363112,2.296213419,8.449844538999999,3.9294952960000002,3.597379637,2.377611451,0.879418107,1.7680107040000002,2.647428811,100.0
1979,A.3.1.2: Percentage by year,42.32801561,11.32887242,14.90400622,7.170341302000001,1.907969434,1.143506979,10.22181771,6.066181578999999,2.584986822,8.651168401,3.782814544,3.688070201,2.356885635,0.906014295,1.8323349569999998,2.738349252,100.0
1980,A.3.1.2: Percentage by year,41.86123001,11.38937178,14.74327418,7.139413077,1.858249222,1.145259903,10.1429222,5.822629947,2.629325464,8.451955411,4.443107728,3.791159864,2.297531561,0.908290278,1.971156975,2.879447253,100.0
1981,A.3.1.2: Percentage by year,41.97907037,10.99777521,14.55602099,6.895093273,1.954624146,1.155736772,10.00545419,6.382429016000001,2.492562547,8.874991564,4.228829594,3.828900128,2.403260599,0.8796842979999999,2.246013058,3.1256973560000003,100.0
1982,A.3.1.2: Percentage by year,42.56543387,11.00419414,14.37232043,6.738606604,1.9824138619999998,1.161717539,9.882738005,6.255334007,2.324476476,8.579810483,4.534701179,3.737747613,2.253819332,0.838741462,2.230493487,3.0692349489999997,100.0
1983,A.3.1.2: Percentage by year,42.35667987,10.99212228,14.84399629,6.538825506,2.1006225169999997,1.209354958,9.848802981,6.190407356000001,2.484976665,8.675384021000001,4.220524499,3.647086984,2.243447586,0.873391919,2.298563578,3.171955498,100.0
1984,A.3.1.2: Percentage by year,41.76243468,10.65651706,15.03913412,6.538059586,2.25715867,1.230724622,10.02594288,6.138716433,2.881182333,9.019898766,4.09364661,3.746243446,2.442964545,0.91692592,2.296291973,3.213217893,100.0
1985,A.3.1.2: Percentage by year,40.81159611,10.30531525,15.17397188,6.805136571,2.32383328,1.245828895,10.37479875,6.441520196,3.10185497,9.543375166,4.144442032,3.80429193,2.424699413,0.9582680490000001,2.4592414259999997,3.417509475,100.0
1986,A.3.1.2: Percentage by year,40.69663558,9.431297525,15.40168859,6.829152691,2.312551328,1.296691316,10.43839533,6.963948958,3.228163932,10.19211289,4.156719204,3.623040907,2.377957929,1.046792494,2.635359546,3.68215204,100.0
1987,A.3.1.2: Percentage by year,40.50312181,9.252463321,15.69346519,6.846880307999999,2.298746408,1.3557460159999999,10.50137273,7.038250316,3.465995719,10.50424604,4.000492591,3.549922957,2.265630942,0.968123325,2.7611611039999997,3.729284429,100.0
1988,A.3.1.2: Percentage by year,40.0319376,9.298770297,15.58494599,6.856347467999999,2.323734714,1.4042542,10.58433638,7.33277784,3.502611736,10.83538958,3.731781114,3.505826197,2.404861738,0.9968017790000001,3.0253493330000003,4.022151111,100.0
1989,A.3.1.2: Percentage by year,39.69986115,9.165072428,15.16443061,6.810890641,2.3216038880000003,1.4862888769999998,10.61878341,7.599259904,3.521859083,11.12111899,3.7307502560000003,3.482572497,2.718492589,1.0502283270000001,3.2486897480000003,4.298918075,100.0
1990,A.3.1.2: Percentage by year,37.26859731,10.93717681,15.02431149,6.757719503,2.313227603,1.541714326,10.61266143,7.974115304,3.369767019,11.34388232,3.4761309089999997,3.652473361,2.7650847,1.115910149,3.80377152,4.919681669,100.0
1991,A.3.1.2: Percentage by year,36.4322058,11.4944304,15.21034252,6.697642972000001,2.261617434,1.599372465,10.55863287,8.227953416,3.366514029,11.59446744,3.051742997,3.636212965,2.694221558,1.078614478,4.249128968,5.327743446,100.0
1992,A.3.1.2: Percentage by year,36.06134751,11.65823176,14.8072934,6.681999631,2.22984502,1.645581421,10.55742607,8.728445655,3.461677641,12.190123300000002,2.9461284119999998,3.691703118,2.667526413,1.177541959,4.242678061,5.42022002,100.0
1993,A.3.1.2: Percentage by year,35.3598487,11.47002785,14.54652837,6.862735848,2.245125975,1.6684839740000001,10.776345800000001,9.228700006,3.601869297,12.8305693,2.820150303,3.763391696,2.981511807,1.126880592,4.32474559,5.451626181,100.0
1994,A.3.1.2: Percentage by year,33.84024314,11.42483985,14.53734191,7.107574464,2.3239086330000003,1.676674569,11.10815767,9.240023158,3.778073225,13.01809638,3.106649778,4.060931335,3.26659265,1.109244872,4.5279024130000005,5.637147285,100.0
1995,A.3.1.2: Percentage by year,32.64051849,11.59882546,14.29952036,7.366070862999999,2.395556989,1.706106972,11.46773482,9.967941439,3.75603579,13.72397723,3.0484973789999996,4.225265352,3.296536872,1.075057164,4.624066872,5.699124036000001,100.0
1996,A.3.1.2: Percentage by year,32.29174474,11.58277402,14.34593313,7.522526622999999,2.4396686919999997,1.7450101759999999,11.70720549,10.12832341,3.791481452,13.91980486,2.8768113160000004,4.365539841,3.2812163589999996,1.064714452,4.564255782,5.628970235,100.0
1997,A.3.1.2: Percentage by year,31.28627704,11.38702539,14.255299300000003,7.467439907,2.781004865,1.9261919490000001,12.17463672,10.83540185,3.7804389,14.61584075,2.694871215,4.344485751,3.185697901,1.3652329369999998,4.690632992,6.05586593,100.0
1998,A.3.1.2: Percentage by year,30.76831748,11.16107293,14.00205656,7.44812084,2.709897375,1.794980377,11.95299859,11.2422681,3.772391977,15.01466008,2.7376730680000003,5.109394422,2.919456535,1.536110597,4.7982597380000005,6.334370335,100.0
1999,A.3.1.2: Percentage by year,30.09766816,11.02558226,13.71565885,7.471000367,2.596755037,1.8874420280000002,11.95519743,11.31924206,3.712694241,15.031936300000002,3.87860735,4.884743692,3.077520445,1.4638519030000001,4.869233607,6.33308551,100.0
2000,A.3.1.2: Percentage by year,30.03295174,10.97368066,13.40726982,7.28247268,2.6129009880000003,1.819373795,11.71474746,11.88986191,3.468482669,15.35834458,4.021432519,4.965356668,3.153801857,1.602237099,4.770177599,6.372414697999999,100.0
2001,A.3.1.2: Percentage by year,29.41403582,10.73149407,13.19948531,7.24606675,2.57558785,1.874045034,11.69569963,12.28866049,3.298859673,15.58752016,4.205838354,5.225460163,3.47676563,1.9335052680000002,4.530195588,6.463700856,100.0
2002,A.3.1.2: Percentage by year,29.51847585,10.64817952,13.21023886,7.17172875,2.433405349,1.7613234709999999,11.36645757,12.82878624,3.202522056,16.03130829,4.287492831000001,5.053716124,3.615927801,1.788324279,4.4798788730000005,6.268203152000001,100.0
2003,A.3.1.2: Percentage by year,29.31488132,10.46187679,13.17329246,6.861822932000001,2.169736339,1.6677248830000002,10.69928415,13.28857025,3.044068217,16.33263847,4.535091839,5.559861026,3.7443697080000002,1.877177738,4.301526496,6.178704234,100.0
2004,A.3.1.2: Percentage by year,29.56841661,10.79791378,13.16285051,6.825914772000001,2.3278791869999997,1.642371671,10.79616563,13.58054866,2.98748311,16.56803177,4.189170282,5.304051569,3.71045492,1.88258888,4.0203560519999995,5.9029449320000005,100.0
2005,A.3.1.2: Percentage by year,29.34316326,10.43051865,13.21045324,6.884860002000001,2.265621508,1.554093467,10.70457498,13.61278141,2.907206902,16.51998831,4.696210757,5.563405606,3.6352984910000004,1.81692167,4.079465026,5.896386696,100.0
2006,A.3.1.2: Percentage by year,29.18272334,10.41143859,13.27484628,6.768834116,2.280406883,1.666803442,10.71604444,13.780439800000002,2.823331953,16.60377176,4.794645587,5.606924443,3.394212465,1.91608109,4.0993120119999995,6.015393102000001,100.0
2007,A.3.1.2: Percentage by year,29.23364205,10.39364537,13.42546965,6.835965642000001,2.347879844,1.578000893,10.76184638,13.68888043,2.764098275,16.45297871,4.519456565,5.640487184,3.4449208860000002,1.94409107,4.183462143,6.127553213,100.0
2008,A.3.1.2: Percentage by year,29.06368107,10.20725367,13.81177474,6.849390508,2.277666895,1.663485272,10.79054268,13.57669956,2.623152595,16.19985216,4.743723625,5.511286022,3.283344661,2.094575701,4.29396568,6.3885413820000005,100.0
2009,A.3.1.2: Percentage by year,29.27997289,10.36593663,14.09499738,6.650339749,2.31963049,1.5738520480000002,10.54382229,13.60620986,2.611900365,16.21811023,4.808549025,5.390189624,3.085698878,1.9743630890000001,4.238359973000001,6.212723061,100.0
2010,A.3.1.2: Percentage by year,29.47266053,10.35006876,14.1937451,6.168938697000001,2.019384832,1.473016185,9.661339714,14.27290352,2.505517418,16.77842094,5.226286599,5.106016528,2.998031645,1.763869684,4.449560503,6.213430187,100.0
2011,A.3.1.2: Percentage by year,29.74623434,10.24911131,14.6360272,5.961148382999999,2.006601741,1.5404600990000001,9.508210222,14.06597038,2.540981821,16.6069522,4.923573012,5.204866934,3.036276452,1.6598384830000001,4.428909847,6.08874833,100.0
2012,A.3.1.2: Percentage by year,29.70096652,10.23631052,14.72340439,6.0601562829999995,1.908755716,1.76342865,9.732340649,13.74616302,2.518458761,16.26462178,4.997094432,5.288560422,2.947751779,1.7100659409999999,4.398883571,6.108949512000001,100.0
2013,A.3.1.2: Percentage by year,29.84622101,10.48271231,15.09642143,6.09949317,1.9101806280000002,1.741791087,9.751464883999999,13.65979802,2.505368365,16.16516639,4.2102103369999995,5.429451194,2.9762865,1.682535556,4.359530385,6.042065941000001,100.0
2014,A.3.1.2: Percentage by year,29.51317751,10.58776519,15.2430109,6.076705254,1.904129723,1.903987514,9.88482249,13.61592939,2.449014033,16.06494342,4.001616126,5.593285984,2.866654451,1.716135059,4.528588863,6.244723923,100.0
2015,A.3.1.2: Percentage by year,28.91997852,10.91159406,15.24362473,6.193272337000001,1.999511342,2.086243749,10.27902743,13.63900402,2.433513527,16.07251755,4.078612934,5.54266431,2.524274353,1.640634376,4.787071739,6.427706115,100.0
2016,A.3.1.2: Percentage by year,28.36654762,10.92751622,15.36258897,6.498611497000001,2.00713439,2.186363983,10.69210987,13.41514367,2.421452851,15.83659653,3.5760297110000003,5.565594835,2.7658288460000002,1.655606844,5.251580556,6.907187400000001,100.0
2017,A.3.1.2: Percentage by year,28.29745672,11.07721706,15.23304607,6.614866622,2.027723384,2.252378365,10.89496837,13.28567098,2.423082168,15.70875315,3.49154308,5.585444478,2.7571577869999997,1.633544179,5.3208691130000005,6.954413292000001,100.0
2018,A.3.1.2: Percentage by year,28.26117728,11.23017032,15.08575356,6.741082554,2.0429311119999998,2.2935636230000003,11.07757729,13.28967384,2.420048152,15.709722,3.291697463,5.601158117,2.721216635,1.63191999,5.389607357999999,7.021527347999999,100.0
1975,A.3.1.3: Expenditures by year,235.7002536,48.60913772,79.50139894,32.04687886,9.770542003,5.548540932000001,47.36596179,33.3441045,13.20552612,46.54963062,23.16337313,17.57825574,14.84516445,4.05028082,9.765076228,13.81535705,527.1285330000001
1976,A.3.1.3: Expenditures by year,271.1026206,58.36336968,88.31756131,37.06283836,11.090807400000001,6.204189799,54.35783555,37.67227208,13.47716112,51.149433200000004,23.20281757,21.77480447,15.43369531,4.496065276,10.94499476,15.44106003,599.1431977000001
1977,A.3.1.3: Expenditures by year,286.3048748,66.46553794,96.28355905,43.608137,12.46859835,6.852049675,62.92878503,41.63903071,13.67668066,55.31571137,23.76039203,25.22581535,17.20971564,5.455949613,12.23527422,17.69122383,651.185615
1978,A.3.1.3: Expenditures by year,308.0537641,77.2783186,107.1085244,49.71147551,14.01967294,7.775253247,71.50640169,43.92910337,16.39204474,60.32114811,28.05160103,25.68071743,16.97312321,6.277927319,12.62134884,18.89927616,713.8728746
1979,A.3.1.3: Expenditures by year,335.27026989999996,89.73333759,118.05113270000001,56.79458933,15.11257776,9.057450201,80.96461729,48.04879951,20.47507347,68.52387298,29.96278552,29.21233783,18.66833754,7.176326435,14.51349483,21.68982126,792.0765127000001
1980,A.3.1.3: Expenditures by year,380.7450486,103.5910056,134.0961229,64.93588883,16.90153849,10.41660834,92.25403566,52.95920644,23.91479303,76.87399946,40.41188629999999,34.4821532,20.89699145,8.261272444,17.92848079,26.18975324,909.5409963999999
1981,A.3.1.3: Expenditures by year,444.4215397,116.43059620000001,154.10082219999998,72.9965657,20.69309932,12.23548572,105.9251507,67.56912207,26.38811377,93.95723584,44.76952307,40.53557344,25.44269719,9.312989706,23.77795822,33.09094793,1058.674086
1982,A.3.1.3: Expenditures by year,521.2616072,134.7587326,176.0052269,82.52181616,24.27688718,14.22653774,121.02524109999999,76.60359972,28.46582857,105.0694283,55.5325157,45.77292303,27.60055238,10.27133245,27.31490119,37.58623364,1224.612461
1983,A.3.1.3: Expenditures by year,568.3620354,147.4975142,199.18378810000002,87.74106435,28.18715001,16.22769886,132.1559132,83.06582424,33.34459641,116.4104206,56.63300105,48.93834428,30.10364458,11.71958734,30.84321713,42.56280447,1341.847466
1984,A.3.1.3: Expenditures by year,599.2283294,152.9050441,215.7890286,93.81135351,32.38684309,17.65905328,143.8572499,88.08137795,41.34064714,129.42202509999998,58.73769186,53.75297725,35.05287885,13.15651234,32.94834732,46.10485966,1434.850085
1985,A.3.1.3: Expenditures by year,629.2022178,158.8795301,233.9407832,104.91643140000001,35.827098,19.20724447,159.9507739,99.31047005,47.82204599,147.13251599999998,63.89586212,58.65168599,37.38217549,14.77384957,37.91471804,52.68856761,1541.7241119999999
1986,A.3.1.3: Expenditures by year,675.7236584999999,156.5965043,255.72839649999997,113.3907011,38.39741595,21.53015814,173.3182752,115.62884740000001,53.60017385,169.22902130000003,69.01783077,60.15667932,39.48342187,17.38085823,43.75729759,61.13815582,1660.391943
1987,A.3.1.3: Expenditures by year,716.5183423999999,163.6802149,277.624419,121.12437539999999,40.66585221,23.98375347,185.773981,124.50979640000001,61.31501466,185.8248111,70.77050342,62.79972505,40.08002481,17.12653468,48.84617503,65.97270971,1769.044731
1988,A.3.1.3: Expenditures by year,761.3365147000001,176.8461332,296.3980555,130.3955791,44.19331649,26.70642649,201.2953221,139.4564405,66.61346845,206.069909,70.97186391,66.67460178,45.73620874,18.95740345,57.53678325,76.49418671,1901.8227960000002
1989,A.3.1.3: Expenditures by year,816.2997472,188.45018819999999,311.8076618,140.044024,47.73630466,30.56074252,218.3410712,156.2542981,72.41568599,228.6699841,76.71086002,71.60788392,55.89704218,21.59456213,66.79883867,88.39340079,2056.177839
1990,A.3.1.3: Expenditures by year,822.0393371,241.24303619999998,331.3936115,149.0560864,51.02322659,34.00583639,234.0851494,175.8863207,74.32748335,250.213804,76.67356848,80.56318179,60.98990994,24.613806399999998,83.90038918,108.5141956,2205.715794
1991,A.3.1.3: Expenditures by year,863.4824545,272.4303609,360.50147400000003,158.7413407,53.60276519,37.90684729,250.25095319999997,195.01134380000002,79.79000263,274.80134639999994,72.32959068,86.18215744,63.85594813,25.564323,100.70892579999999,126.27324879999999,2370.1075339999998
